LSOA code,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01001437,4642
E01001438,5904
E01001439,5806
E01001440,7766
E01001441,5182
E01001442,3165
E01001444,12215
E01001445,8094
E01001446,9085
E01001447,3524
E01001448,7950
E01001449,8289
E01001450,13223
E01001451,17172
E01001452,22909
E01001453,29230
E01001454,25609
E01001455,23129
E01001456,29825
E01001457,20056
E01001458,4196
E01001459,11498
E01001460,4797
E01001461,4246
E01001462,5863
E01001463,12284
E01001464,4782
E01001465,11104
E01001466,8860
E01001467,9903
E01001468,8107
E01001469,11863
E01001470,23825
E01001471,16683
E01001472,20183
E01001473,17974
E01001474,20983
E01001475,27973
E01001476,9017
E01001477,5893
E01001478,10250
E01001479,6554
E01001480,7739
E01001481,9869
E01001482,4720
E01001483,1643
E01001484,11064
E01001485,5172
E01001486,3856
E01001487,5869
E01001488,7798
E01001489,7594
E01001491,6746
E01001492,7065
E01001493,8384
E01001494,18473
E01001495,21557
E01001496,19665
E01001497,11718
E01001498,16629
E01001499,11372
E01001500,14503
E01001501,9993
E01001502,7448
E01001503,8948
E01001504,7894
E01001505,6432
E01001506,4674
E01001507,4121
E01001508,7139
E01001509,6129
E01001510,2622
E01001511,12867
E01001512,15781
E01001513,6497
E01001514,12968
E01001515,5175
E01001516,8539
E01001517,2365
E01001518,12462
E01001519,20796
E01001520,16603
E01001521,25863
E01001522,19881
E01001523,26051
E01001524,13445
E01001525,17196
E01001526,24301
E01001527,18129
E01001528,5918
E01001529,6993
E01001530,13931
E01001531,26522
E01001532,26409
E01001533,28218
E01001534,23107
E01001535,19585
E01001536,15451
E01001537,22687
E01001538,23188
E01001539,18732
E01001540,19677
E01001541,24871
E01001542,15570
E01001543,24981
E01001544,25045
E01001545,2973
E01001546,9083
E01001547,8436
E01001548,7056
E01001549,3503
E01001550,5526
E01001551,3680
E01001552,9954
E01001553,4794
E01001554,3713
E01001555,6000
E01001556,15029
E01001557,7947
E01001558,4348
E01001559,3951
E01001560,6067
E01001562,2725
E01001563,17402
E01001564,24184
E01001565,17684
E01001566,20017
E01001567,29111
E01001568,24723
E01001569,24037
E01001570,16189
E01001571,16175
E01001572,18456
E01001573,18225
E01001574,4479
E01001575,2565
E01001576,4419
E01001577,6440
E01001578,9697
E01001579,4983
E01001580,23584
E01001581,13999
E01001582,11864
E01001583,20534
E01001584,26016
E01001585,21113
E01001586,11294
E01001587,22066
E01001588,5533
E01001589,9174
E01001590,15901
E01001591,7189
E01001592,19244
E01001593,22827
E01001594,5415
E01001595,11892
E01001596,25312
E01001597,18757
E01001598,19780
E01001599,16636
E01001600,20482
E01001601,23383
E01001602,6918
E01001603,5305
E01001604,20549
E01001605,28074
E01001606,28995
E01001607,16263
E01001608,19688
E01001609,12789
E01001610,21169
E01001611,15294
E01001613,14317
E01001614,26343
E01001615,14143
E01001617,26084
E01001618,11623
E01001619,19186
E01001620,7205
E01001621,7132
E01001623,10924
E01001624,10556
E01001625,4073
E01001629,7852
E01001631,6211
E01001632,15631
E01001633,6202
E01001634,3802
E01001635,11906
E01001636,10378
E01001637,9554
E01001638,8986
E01001640,7763
E01001641,17618
E01001642,22742
E01001644,16768
E01001645,9118
E01001646,10745
E01001647,13052
E01001648,15054
E01001649,5827
E01001650,7097
E01001651,3333
E01001652,16562
E01001653,3995
E01001654,4285
E01001655,3586
E01001656,15898
E01001657,23034
E01001658,15955
E01001659,13757
E01001660,6434
E01001661,5857
E01001662,12724
E01001664,13303
E01001665,16860
E01001666,10546
E01001667,3574
E01001668,9655
E01001669,9131
E01001671,12091
E01001672,9511
E01001673,5579
E01001674,12679
E01001675,8659
E01001676,8863
E01001677,14595
E01001678,19867
E01001679,20502
E01001680,25987
E01001681,15871
E01001682,15940
E01001683,12171
E01001684,10933
E01001685,16704
E01001686,13909
E01001687,5655
E01001688,9824
E01001690,8164
E01001692,8020
E01001693,6383
E01001694,11923
E01001695,5276
E01001696,5270
E01001697,6293
E01001698,8235
E01001699,10944
E01001700,7478
E01001701,8286
E01001702,4923
E01001703,7158
E01001704,11676
E01001705,6839
E01001706,4427
E01001708,13833
E01001709,5099
E01001710,6464
E01001711,9120
E01001712,7387
E01001713,5191
E01001714,3216
E01001715,8857
E01001716,5179
E01001717,9310
E01001718,14212
E01001719,5629
E01001720,14558
E01001722,7202
E01001723,12151
E01001724,10562
E01001725,9853
E01001726,6738
E01001727,12316
E01001728,7754
E01001729,3718
E01001730,2897
E01001731,7474
E01001732,4530
E01001733,6917
E01001734,5446
E01001735,5831
E01001736,13149
E01001737,11026
E01001738,12095
E01001739,10312
E01001740,3274
E01001741,16337
E01001742,8495
E01001744,7078
E01001745,5257
E01001746,5801
E01001747,7514
E01001748,6737
E01001749,7497
E01001750,5518
E01001751,15464
E01001752,9681
E01001753,5565
E01001754,7318
E01001755,4241
E01001756,11738
E01001757,7129
E01001758,4616
E01001759,8528
E01001760,4504
E01001761,2627
E01001762,9543
E01001763,12683
E01001764,8634
E01001765,3374
